Text,positive,negative,Lab,Label,Sentiment,Pred
Určite Lego friends pre  moju malú segru ktorá prišla so samými jednotkami 1⃣🎆😍,0.5448,0.4552,3.0,Neutral,1.428,Positive
Darovala by som to kamoške a jej dcérke 👣,0.5221,0.4779,3.0,Neutral,0.362,Positive
Toto si jebnite ako tu v Turecku aj sa v tom choďte kúpať 😀,0.5571,0.4429,3.0,Positive,0.572,Negative
Najlepsie sa predat??  To ako vazne je toto najlepsie?😃,0.5116,0.4884,3.0,Neutral,0.558,Positive
"Veganske syry neposielaju, hoci je to eshop 😯 je moznost len osobneho odberu",0.7019,0.2981,3.0,Positive,0.129,Negative
No a co? Aspoň ho nebude mít každý 😉,0.39299999999999996,0.607,2.0,Negative,0.464,Neutral
Milan Hudec uz sa chystam😜,0.5786,0.4214,3.0,Positive,0.456,Negative
Asi všetky ;) nie je vyberavý :) 😚,0.924,0.076,3.0,Positive,0.715,Negative
"Prvé mi napadlo ""slovenský týždeň""😉",0.3543,0.6457,2.0,Negative,0.464,Neutral
"😂😂 nie sama,s celou rodinou za 3 dni.ale boli mega 👍",0.4473,0.5527,2.0,Negative,0.964,Positive
Oliva je pod strednou miskou a máme pred sebou Pyrenejský týždeň s Lidlom ☀🌞,0.3670000000000001,0.633,2.0,Negative,0.568,Positive
Výborne pán Premiér držíme vám palce držte sa 🥰❤veríme vám 🙏,0.5247,0.4753,3.0,Neutral,0.418,Positive
Aha takže všetky tvoje vyjadrenia sú vtipy ? 😃 Lebo tu sa píše o vtipoch 😃😃,0.4249,0.5751,2.0,Negative,1.6740000000000002,Positive
Oranžová pre Aňulka Holienčíková 😘 ak by sa pošťastil ten chlapec 😉,0.5443,0.4557,3.0,Neutral,1.166,Positive
870 000 😍 a treba pokracovat,0.6531,0.3469,3.0,Positive,0.678,Negative
Ty si daj gram a bud v pohode😂😂😂,0.5294,0.4706,3.0,Neutral,0.663,Negative
Boris A Klaudia Balážovci  prečo platená karanténa????🤷‍♂️,0.5303,0.4697,3.0,Neutral,0.0,Negative
Pavol Sandtner možnosť ušetriť 👌🏼,0.5558,0.4442,3.0,Positive,0.564,Neutral
Mate u mna like za ten popisok 👌😄,0.5174,0.4826,3.0,Neutral,0.986,Positive
"Dosiahol porušenie medzinárodného práva, ale Smetiari to napísať nemôžu.. 😀",0.5465,0.4535,3.0,Neutral,0.572,Negative
"aaa, tak predsa existuje! nasiel sa dankov jazykovy poradca 👅",0.491,0.509,2.0,Neutral,0.468,Negative
Simona Jankovičová ja vždy 🤣 sla by som na horor,0.4707,0.5293,2.0,Neutral,0.0,Positive
lego city policajná stanica 🎄🎄,0.4857,0.5143,2.0,Neutral,1.076,Negative
"tatovi Smeráci až tak nevadili, keď v 2013 kandidoval s ich podporou...🤔",0.5004,0.4996,3.0,Neutral,0.0,Negative
A ten prieskum robil kto a kde?🤣🤣🤣🤣😭😭😭,0.4651,0.5349,2.0,Neutral,-0.279,Negative
Musi byt strasne frustrujuce propagovat hc slovan 😀,0.4018,0.5982,2.0,Negative,0.572,Positive
B velkost S pre Csepi Anikò lubim ta 😘😘,0.5387,0.4613,3.0,Neutral,1.404,Positive
"Mal ""nakúpené"" v robote !!!🙄🙈",0.4581,0.5419,2.0,Neutral,0.433,Negative
Pre nášho malého drobčeka Jarka 😉,0.5037,0.4963,3.0,Neutral,0.464,Positive
No čo Beata Kocisova vyhrali ste?👌🏼,0.6452,0.3548,3.0,Positive,0.564,Neutral
"Super ako za sociku , len umelina??😮😮😮😮😮",0.6839,0.3161,3.0,Positive,0.8340000000000001,Negative
Erika Sarkoziova ano ano presne tak to uz aj mna napadlo😇,0.5673,0.4327,3.0,Positive,0.6,Negative
Pri cestovinach... V rovnakom obale aj cícer a pohánka 👍👍,0.532,0.46799999999999997,3.0,Neutral,1.044,Positive
"Keďže máme Lidl blízko bývania, tak asi tam by smerovala moja prvá cesta...😊",0.4483,0.5517,2.0,Negative,0.645,Positive
Veronika Dzurillova smejem sa aká ste zaostala teta👌🤦🏻‍♀️🙈🙈,0.5362,0.4638,3.0,Neutral,1.43,Negative
C/ velkosť XL  🤩🤩🤩♥️🎁♥️🎁 - like a súťažím a like stránku  -- Lidl Slovensko,0.4522,0.5478,2.0,Neutral,1.534,Positive
"Vianočné prázdniny lákajú na zimné radovánky! ⛸⛄ Tak si ich užite spoločne s deťmi a vyrazte napríklad na lyžovačku do hôr. ⛷️❄\n\n➡️ POHODLNÝ PULÓVER, s vianočnými motívmi; pre slečny, 134 – 164 cm; pre chlapčekov, 98 – 128 cm – 6,99 €\n\n➡️ VESELÝ SVETER, pre chlapcov, s vianočným motívom, 134 – 164 cm – 9,99 €",0.7404,0.2596,3.0,Positive,0.529,Negative
Aj ja chcem vyhrat pre Lubomiru Polakovu🙏🏻Spievanka a Zahrajko su to!,0.5434,0.4566,3.0,Neutral,0.418,Positive
Vo Vrbovom slniečko ☀ ale fúka vietor 💨,0.4693,0.5307,2.0,Neutral,0.391,Negative
Ružová so žirafkou a slonom pre našu Janičku 🙂💞💕💓,0.491,0.509,2.0,Neutral,2.047,Positive
"Aj aj, rada skúšam nove veci 😉",0.3711,0.6289,2.0,Negative,0.464,Positive
��CHCEME SA S VAMI ROZPRÁVAŤ🗣,0.51,0.49,3.0,Neutral,0.0,Positive
Bol to primitívny moslim nič iného 😀,0.5715,0.4285,3.0,Positive,0.572,Negative
Bude brožúrka aj v tlačenej verzii? Deti by sa potešili 😉,0.5177,0.4823,3.0,Neutral,0.464,Positive
Putin iba ak na slniečkárov 😃,0.5869,0.4131,3.0,Positive,0.558,Negative
Spoločná fotka nášho pohodového tímu Zastúpenie Európskej komisie na Slovensku s prezidentom Andrej Kiska nemôže z Pohoda Festival chybat! 🇪🇺☺️\n#EUandME,0.5427,0.4573,3.0,Neutral,1.196,Positive
Máte doma dievčatko alebo chlapčeka?👧👦 Dajte nám vedieť svojím hlasom a fotkou do komentára!📸 PS: Nádherné detské oblečenie Lupilu z biobavlny tento týždeň v Lidli💞✌️\nviac na http://bit.ly/2FOhxZN,0.6754,0.3246,3.0,Positive,1.04,Negative
Lego City😉❤❤❤ pobrežná stráž😉❤❤❤,0.4512,0.5488,2.0,Neutral,0.928,Positive
Konečne o tom začal niekto hovoriť 👍 len tak ďalej,0.6891,0.3109,3.0,Positive,0.522,Negative
Maminka keď bola maličká 4roky mala to je už 65 rokov dozadu💋,0.4545,0.5455,2.0,Neutral,0.693,Negative
Tichá noc a Pulnoční od Václava Neckáre 😉,0.5353,0.4647,3.0,Neutral,0.464,Positive
"⛽ Natankujte si slevu na zahradní nářadí Fiskars! 👩‍🌾👨‍🌾\nStačí do 16. 8. 2020 natankovat 30 l (základního nebo prémiového) paliva a získat slevu 25 % na vybrané zahradní nářadí FISKARS, které můžete omrknout a nakoupit zde: https://bit.ly/omv_fiskars \nSlevu získáte po zadání kódu z účtenky, \n(tvar: xxxx/x/xxxxxx/xxx) tak si ji nezapomeňte uschovat. 😉\n🙋‍♀ Ruku nahoru, kdo bude letos trávit léto při zvelebování svého domu nebo zahrady? 🏡",0.3108,0.6892,2.0,Negative,3.406,Positive
Podakuj sa chojom vo vlade..su dokonaly kokoti😆😉,0.6192,0.3808,3.0,Positive,0.876,Neutral
Vianoce sú pre všetkých. LIDL tiež. 🎄❄️,0.5379999999999999,0.462,3.0,Neutral,0.538,Positive
"Boris Cheyenne netreba študovať,stačí si pozrieť raňajky u Kočnera.😂😂😂",0.5234,0.4766,3.0,Neutral,0.663,Negative
Ten loser si ani neprdol na slovane 😝,0.5,0.5,1.0,Neutral,0.425,Negative
S vnúčatami v lete k vode 👉 a ZOO,0.5603,0.4397,3.0,Positive,0.394,Negative
Jožo Franko  neruziem a ani nechcem rozumiet tvojmu kmenu 🙂,0.4807,0.5193,2.0,Neutral,0.0,Negative
"⬇️ ""Prečo práve Ján Mrva"" ⬇️\nNech sa páči 👇🏻 prečítajte si článok na SME.\nSom kandidát celej demokratickej opozície, ktorá bude mať väčšinu poslancov v zastupiteľstve a má výnimočnú historickú príležitost presadiť spolu so mnou svoj program za LEPŠIU BRATISLAVU 👍🏻\n\n#JanMrva #primator #Bratislava #skusenost #odbornost #vysledky #ModernaBratislava #pravyprimator",0.7875,0.2125,3.0,Positive,0.777,Negative
moje dietky miluju všetky🙂,0.5266,0.4734,3.0,Neutral,0.0,Positive
"Mňňaaaaám,obidvoje sú lákavé a určite aj vyyyýborné!!😁",0.4749,0.5251,2.0,Neutral,0.45,Positive
Silvester stravim s priatelom a kamaratmi na zabave 🙂🎉,0.4287,0.5713,2.0,Negative,0.74,Positive
Doprial by som krstnému synovi Oliver Lieskovec🍀😎,0.4769,0.5231,2.0,Neutral,0.7809999999999999,Negative
"Milos, vobec nie. A trochu ma prekvapuje trivialnost otazky... 😊",0.3716,0.6284,2.0,Negative,0.645,Positive
"“Vlasť” bolo údajne jediné slovo, ktoré Harabin vedel povedať naraz 😄",0.5161,0.4839,3.0,Neutral,0.422,Negative
Je to nebezpečný psychopat😰,0.4846,0.5154,2.0,Neutral,-0.02,Negative
Sheriff Chobotnica Dobrikova  verte mi je to lepsie pre nervy😂,0.4667,0.5333,2.0,Neutral,0.221,Negative
Ked bude lepsie pocasie niekde sa prejst do prirody 🙂,0.4823,0.5177,2.0,Neutral,0.0,Negative
"Tabulky, grafy, plagaty, ides Igor😂😂😂👍",0.4571,0.5429,2.0,Neutral,1.185,Negative
Podľa mňa to je v pohode kým nehlásia trojtýždňové zdržanie 😂,0.5052,0.4948,3.0,Neutral,0.221,Negative
Peťo Panzer Velčický Jo jo. Nečítal som s porozumením 😉,0.5244,0.4756,3.0,Neutral,0.464,Negative
"Pilos, Lupili, Esmara, Castello, Dulano \nVšetko NAJlepšie 🎉🎉🎉",0.5393,0.4607,3.0,Neutral,2.2199999999999998,Positive
Zase sa Vám ten status na 120% podaril. 😉,0.4618,0.5382,2.0,Neutral,0.464,Negative
"TOTO JE PRVÝ BALÍK SOCIÁLNYCH OPATRENÍ\n\nMá za cieľ zmierniť negatívne ekonomické dopady v týchto náročných časoch.💚\n\n✅ošetrovné pri mimoriadnej situácii  - pomoc pre rodičov, ktorí su nútene s deťmi doma\n✅nemocenské v karanténe - príspevok pre ľudí, ktorí sú v karanténe\n✅príspevok na udržanie pracovného miesta \n✅pomoc pre SZČO\n\nViac informácií o opatreniach nájdete tu: https://index.sme.sk/c/22367515/pozrite-si-zoznam-novych-ekonomickych-opatreni-kvoli-koronavirusu.html",0.0978,0.9022,2.0,Negative,2.383,Positive
"Vážený Telekom, takto sa v Zálesí počas rozširovania super modernej optickej siete označujú výkopy, aby do nich nik nespadol. A to nehovorím o počte preseknutí telekomunikačných káblov. Bravó, robíte to fakt “profesionálne” 👏",0.5609,0.4391,3.0,Positive,0.521,Negative
babulka zlata prajem Ti vela zdravicka stasticka 🙏💖🍀🍀,0.5178,0.4822,3.0,Neutral,1.707,Positive
Jajca Paradajca presne tak !! Napriek tomu musím trvať na svojom !! 🎯,0.508,0.4920000000000001,3.0,Neutral,0.667,Negative
Sa nám to tu začína pred voľbami pekne zbierať 😅,0.6559,0.3441,3.0,Positive,0.18,Negative
Mima Čapkovičová 👍👍nezabudni na chlebik 😂😂😂,0.5,0.5,1.0,Neutral,1.7070000000000003,Negative
Potešil by balíček A pre muža 🍀,0.4471,0.5529,2.0,Negative,0.288,Positive
Urcite je to Perinbaba a Sam doma ...ale aj Shrek ja ok 🎄❄❄,0.53,0.47,3.0,Neutral,0.538,Positive
"curling,superG,zjazdove lyzovanie🤗",0.5,0.5,1.0,Neutral,0.0,Positive
"Spoľahnite sa, sme Verní Slovanu a sme zajtra tam ✊✊✊",0.4891,0.5109,2.0,Neutral,1.299,Positive
"Pre našu kamaratku Mirku,👭 ktorá sa za chvilu dočká svojho krpčeka Danka👶",0.5159,0.4841,3.0,Neutral,0.9199999999999999,Positive
"Patríte k vodičom, ktorí tankujú až keď sa rozsvieti oranžová kontrolka? Ak vás šťastie opustí a nevyjde vám palivo na dojazd k čerpacej stanici, zachránia vás asistenčné služby Allianz Assistance. Tie máte vďaka vernostnej karte Shell ClubSmart zadarmo. Stačí mať zaregistrovaný online účet a získať aspoň 1 bod v predošlom mesiaci 🙂",0.5693,0.4307,3.0,Positive,0.0,Negative
Zdena Kaluzakova štát pomôže🤣🤣🤣,0.5232,0.4768,3.0,Neutral,0.0,Negative
Strýco Šaňo je na teba isto hrdý 😁,0.4604,0.5396,2.0,Neutral,0.45,Positive
"3 z vás zaplatíme nákup! 😍 \nČo pre to treba spraviť? 1. Zostaňte v polohe ležmo na gauči, 2. Stiahnite si aplikáciu našich Online nákupov: bit.ly/onlinenákupy-Android alebo bit.ly/onlinenákupy-iOS,  3. Vyberte si z našej ponuky čerstvých a kvalitných produktov, 4. Napíšte nám, ako sa vám páči nakupovanie s našou appkou. Víťazi získajú zľavový kupón v hodnote \n30 €. Veľa šťastia. 🍀 \nPravidlá súťaže nájdete na tesco.sk/sutaze.",0.4012,0.5988,2.0,Negative,0.966,Positive
Tak to prehnal 😞  ešte keby ho nazval usa pudel ok 😁,0.5099,0.4901,3.0,Neutral,0.332,Negative
Najradsej niekam do prirody 🙂,0.4851,0.5149,2.0,Neutral,0.0,Negative
Vyhráme 💙🇸🇰❤️treba veriť❣️,0.4794,0.5206,2.0,Neutral,2.259,Positive
Richard Tóth 😷az taka dementna este nie je 😁,0.4556,0.5444,2.0,Neutral,0.279,Negative
TRENČÍN  trošičku zamračené inak fajn. ⛅,0.4477,0.5523,2.0,Negative,0.486,Positive
V plnom pracovnom nasadení 🤔,0.5,0.5,1.0,Neutral,0.0,Negative
Jakub Horvath ja by som odisiel ak by mi to nevyhovovalo 💁🏻‍♂️,0.5308,0.4692,3.0,Neutral,0.328,Negative
Dušan Nitka to je len dobre... ✊,0.5388,0.4612,3.0,Neutral,0.433,Negative
Naša trojnožka by tiež potrebovala ostrihať...naša Jessinka 🐕🐶❤,0.496,0.504,2.0,Neutral,0.8879999999999999,Positive
Pre nasu este nenarodenu kvetinku ❤️ 👧,0.4538,0.5462,2.0,Neutral,0.15,Positive
Uz aj zvierat je tu rasizmus? 😀 dufam ze si to myslel ironicky 😀,0.4977,0.5023,2.0,Neutral,1.144,Positive
"Kuchynský robot, mixér a hrniec 👨🏼‍🍳",0.5166,0.4834,3.0,Neutral,0.601,Negative
"Striedavo jasno oblacno ☺... zda sa,  ze sem dnes  Martin nedorazi 😉",0.6439,0.3561,3.0,Positive,0.464,Negative
"Už ste niekedy počuli o hľadaní ukrytých veľkonočných vajíčok alebo o tom, ako nimi ľudia zdobia stromy? 🥚💟🌳 Je toľko zaujímavých tradícií a faktov o Veľkej noci, ktoré sú rozšírené vo svete! 😊 Tie najlepšie sme pre vás vybrali tu 👉 bit.ly/kuriozity-a-tradicie-Veľkej-noci",0.4924,0.5076,3.0,Neutral,2.2840000000000003,Positive
"Pre nášho synčeka, ktorého čakáme do rodinky v októbri ❤️🍼",0.3592,0.6408,2.0,Negative,0.625,Positive
870 000 kusov stromcekoov 🎄,0.5892,0.4108,3.0,Positive,0.538,Negative
"Dakujem, konecne sa ti podarilo napisat moje  moje priezvisko spravne 😉",0.4432,0.5568,2.0,Negative,0.464,Positive
Odpoveď C všade rovnako A super akcie každý týždeň 😘,0.4438,0.5562,2.0,Negative,0.702,Positive
Emke koboljuvej je to best dieuca💓🔥,0.5126,0.4874,3.0,Neutral,0.812,Positive
Ružový set pre moju jedinu vnučku💋💋💋👶👶👶❤❤❤,0.4705,0.5295,2.0,Neutral,3.4229999999999996,Positive
"Všade kde je krásne, kde sa dajú do vody hádzať kamienky 🙂☺️",0.4687,0.5313,2.0,Neutral,0.0,Positive
Skutočné výlety nás ešte čakajú...zatiaľ kočíkom po celom meste 😀,0.496,0.504,2.0,Neutral,0.572,Positive
"7 mesiacov, plienky velkost 3 a najoblubenejsi produkt su plienky.. 😉",0.5363,0.4637,3.0,Neutral,0.464,Positive
Výhru by som chcela pre moju dcérku Zojku😄,0.4757,0.5243,2.0,Neutral,0.422,Positive
Pre naše druhé babo 😊 modré,0.451,0.5489999999999999,2.0,Neutral,0.645,Positive
"Huawei P20 je teraz síce na útulnom mieste, ale rád by si našiel pánička a bol tiež outsider. Pozeraj už tento piatok náš Facebook livestream “OUTSIDER LIVEŠTEK”. Objav, kde ťa čaká tvoj nový telefón, príď si poň a zober ho von. 📱🐾\n#OUTSIDERPSAVENCI",0.0984,0.9016,2.0,Negative,0.9550000000000001,Positive
"Dobrý večer. Tak už zas Vám píšem, kvôli mäsu. Dnes priateľ kupoval mäso kuracie štvrte. Čo na ne poviete? Tak to bolo aby to samozrejme nebolo vidieť.\nLidl Nitra Chrenová.😡",0.5763,0.4237,3.0,Positive,-0.173,Negative
Filipko odkazuje že Lego city 😃,0.5137,0.4863,3.0,Neutral,0.558,Positive
Aj pred bonaparte trošku 🙏🏻,0.5736,0.4264,3.0,Positive,0.418,Negative
"Ponožky na nožky a do školy pravou nohou! 🏃‍♀ Přijďte si k nám pro příjemné dětské ponožky v různých barevných sadách a velikostech. 🧦 Cena je opravdu sympatická. 💙\n\n➡  DÍVČÍ PONOŽKY 3 PÁRY, k dispozici dvě sady barev, velikosti 23–38 – 29 Kč (cena za 1 kus 9,66 Kč) \n\n➡  CHLAPECKÉ PONOŽKY 3 PÁRY, k dispozici různé sady barev, velikosti 23–38 – 29 Kč (cena za 1 kus 9,66 Kč) \n\nVýše uvedené produkty jsou z aktuální nabídky, která je dostupná do vyčerpání zásob.",0.4845,0.5155,2.0,Neutral,1.147,Negative
Cestoviny s hubovou omáčkou 😉,0.439,0.561,2.0,Negative,0.464,Positive
Aj my dúfame že vyhráme 😉😉😉,0.5669,0.4331,3.0,Positive,1.3920000000000001,Neutral
"Vitaj v našej prvej pobočke budúcnosti v bratislavskom Bory Mall. Čakáme ťa v dizajnových priestoroch, kde ti poskytneme kompletné poradenstvo. A nájdeš tu aj samoobslužnú zónu s vkladomatom pre rýchle vybavovanie hotovostných transakcií. Tešíme sa na teba. 💙",0.4531,0.5469,2.0,Neutral,0.732,Positive
To bolo v case ked boli tie stieraci zreby na pobyt v Permone a auta😕,0.4839,0.5161,2.0,Neutral,-0.4,Negative
Jozef odbornik na politiku sa vyjadril 👏😄,0.4795,0.5205,2.0,Neutral,0.9430000000000001,Positive
"Lucka Uhrinová ušla veru, miniružička 😅 vy ste sa dostali nakoniec??",0.7440000000000001,0.256,3.0,Positive,0.18,Negative
Bela ale narod je prekvapeny z teba.🙈🙈🤥,0.5245,0.4755,3.0,Neutral,0.866,Negative
Pre moju Lucku ktora este je v brušku 🌞❤👶,0.3827,0.6173,2.0,Negative,1.016,Positive
"Připravte si o víkendu pohodovou a dlouhou snídani, na kterou během rušného pracovního týdne nemáte čas. ☕🍩🍓 Dobrou chuť! 😋\n\n➡ HRNEK S RELIÉFNÍM VZOREM, v mátové nebo krémové barvě, objem 450 ml – 35 Kč \n\n➡ DEZERTNÍ TALÍŘEK S RELIÉFNÍM VZOREM, v mátové nebo krémové barvě, \nø 19 cm – 42 Kč\n\n➡ MISKA S RELIÉFNÍM VZOREM, v mátové nebo krémové barvě, objem 730 ml – 42 Kč\n\nVýše uvedené produkty jsou z aktuální nabídky, která je dostupná do vyčerpání zásob.",0.3498,0.6502,2.0,Negative,1.964,Positive
do piče jej nasypat kilo soli👽🖕🔫,0.5114,0.4886,3.0,Neutral,0.127,Negative
"Poďte s nami do múzea Ferrari v talianskom Maranelle! Čakajú tam na vás všetky pretekárske modely monopostov Scuderia Ferrari, viac ako 100 víťazných trofejí, pretekárske prilby jazdcov F1 a mnoho ďalšieho. Stačí natankovať aspoň 30 litrov palív Shell V-Power, zaregistrovať sa do súťaže a ste v hre! Držíme palce! 🙂",0.5103,0.4897,3.0,Neutral,0.0,Negative
"To je priveľa, chudák, 1488 by tiež stačilo 😀",0.5413,0.4587,3.0,Neutral,0.572,Positive
"Ingrid Kramplová, pôjdeme do kina? už je načase,hm? 🤗👌🌺",0.7005,0.2995,3.0,Positive,1.124,Negative
Pre moju Emku k jej nedávnym meninám.Pozdravujeme z nemocnici 😓,0.5074,0.4926,3.0,Neutral,-0.081,Negative
My sa chystáme do Chorvátska k moru🔆😄,0.42200000000000004,0.578,2.0,Negative,1.069,Positive
"Už o pár dní sa budeme tešiť z novinky, na ktorú sme spoločne netrpezlivo čakali. 🍏\n\nSo službou Apple Pay zaplatíte už aj s debetnými kartami Visa od VÚB. Čoskoro vám prinesieme viac informácií. 📱",0.5123,0.4877,3.0,Neutral,0.401,Negative
aj to je riešenie - namiesto zväčšenia rohlíkov zmenšiť párky 😁,0.4934,0.5066,2.0,Neutral,0.45,Negative
Tento rok doma v obývačke 😃,0.5097,0.4903,3.0,Neutral,0.558,Positive
Každý deň budú vraj Vianoce\n🌲,0.4766,0.5234,2.0,Neutral,0.435,Positive
Že Ficovec 😀sa mi vidi ze pavol vidi čiernobielo svet 😀,0.5431,0.4569,3.0,Neutral,1.144,Positive
"Ja si myslim, ze aj skuseny profik sa moze pomylit 😉",0.2132,0.7868,2.0,Negative,0.464,Positive
"Joko Jokovič omg, že pána Fica 🤣  toto bude určite za príplatok 👏",0.5499,0.4501,3.0,Neutral,0.521,Negative
Súhlasím s Vami ‼️‼️‼️ Čaputová je otras🆘🆘,0.6698,0.3302,3.0,Positive,0.182,Negative
Do školy a zo školy na nákup 😊,0.5262,0.4738,3.0,Neutral,0.645,Negative
Anoooo uz to mam napozeranee 😋🙌🏻,0.5766,0.4234,3.0,Positive,1.194,Neutral
"Manželka a ja sme za dom pod kontrolou, lebo jeden nikdy nevie...😀😀😀",0.373,0.627,2.0,Negative,1.7159999999999997,Positive
"Matus Bavolar nestahuj, kalhoty, Brod je ještě daleko🤣🤣🤣",0.2249,0.7751,2.0,Negative,0.0,Neutral
Jahodové sú najlepšie 👌 aj keď všetky ostatné sú tiež dobré,0.4781,0.5219,2.0,Neutral,0.564,Positive
V Lozorne zamračené  a fúka studený vietor 🌪☁️🌥🌬,0.5602,0.4398,3.0,Positive,0.0,Negative
"SENICA...🌥zamračené,sem tam vykukne🌤, asi bude 🌧,treba mať v pohotovosti ☂️",0.5682,0.4318,3.0,Positive,0.0,Negative
Prvý krát by som sa išla voziť na ulicu a potom už kade tade 😊,0.6543,0.3457,3.0,Positive,0.645,Negative
Mikuláš Mihalič dakujeeeeme 😆😉,0.6315,0.3685,3.0,Positive,0.876,Neutral
Najcastejsie iba kefu 🙂 ked je to nutne tak ofenujem 😃,0.5241,0.4759,3.0,Neutral,0.558,Negative
Ale nechali tam Jack takze prvý krát nekopírovali od Applu 😄 aspoň niečo 😄😄,0.4156,0.5844,2.0,Negative,1.266,Positive
Je pravdepodobne mimo nášho distribučného plánu🙄,0.4958,0.5042,2.0,Neutral,0.0,Negative
Mojej dcere Sofii 😘 dievcensky balicek,0.5,0.5,1.0,Neutral,0.702,Positive
S mužom budeme doma starať sa o našu herečku 😃,0.3183,0.6817,2.0,Negative,0.558,Positive
Není nejlepší ale mám ji rad 😛,0.5638,0.4362,3.0,Positive,0.609,Negative
Niekde s Hubert párty boxom! 🍾🥂🎉🎊,0.4377,0.5623,2.0,Negative,1.467,Positive
Peter Spac vystizne krátke spravne 👍👍,0.5246,0.4754,3.0,Neutral,1.044,Positive
Oliva je pod strednou miskou😄začina pyrenejský týžden,0.4357,0.5643,2.0,Negative,0.422,Positive
Jana Lechanová keď prídeš urobiš 😉😂🤣,0.3865,0.6135,2.0,Negative,0.685,Neutral
"Ja by som sa aj povozila aj keď mám 50rokov,ale aj syn 😘 určite.",0.4583,0.5417,2.0,Neutral,0.702,Positive
Pre moje krsniatko Valentínku ktorú už čakáme každým dňom 😍😍😍,0.3089,0.6911,2.0,Negative,2.0340000000000003,Positive
Ja by som ho darovala mojej mladšjej sestre👑,0.5275,0.4725,3.0,Neutral,0.701,Positive
"Len raz - Rieker pureleather za \n9,90 € , ale to mám 11 nohu😜😜",0.5137,0.4863,3.0,Neutral,0.912,Negative
Pre čerstvú tehuľku Martina Alexandra Grófová 🍀😍,0.5383,0.4617,3.0,Neutral,0.966,Positive
"myslela som, ze na nu zabudol 😆",0.4855,0.5145,2.0,Neutral,0.412,Negative
Gabi Galasova predtým HZDS ...podobne Čadca..srdcu nerozkážeš😎,0.4383,0.5617,2.0,Negative,0.493,Positive
Radoslav Bača si dvolezity jak padak v ponorke😉,0.4945,0.5055,2.0,Neutral,0.464,Negative
Zas sa niekto doma nevychrape😲🤓,0.4987,0.5013,2.0,Neutral,-0.07,Negative
Vyhráme....oni to zvládnu.su šikovní 😉😉😉,0.773,0.22699999999999998,3.0,Positive,1.3920000000000001,Neutral
Lego City by potesilo mojho legomaniaka 🙏🏻🍀🙂,0.6586,0.3414,3.0,Positive,0.706,Negative
Štefan Pipoly ti profitujú aj teraz len to premenovali na sociálne istoty.. 😉,0.4881,0.5119,2.0,Neutral,0.464,Negative
Pre princeznú Agátku😉....v Lidli si nakupuje s mini košíkom na koliečkach sama😉,0.4938,0.5062,2.0,Neutral,0.928,Positive
A nasiel si rovno veterana...😁,0.4701,0.5299,2.0,Neutral,0.45,Negative
"Budeme doma, kedze mame male deťúrence 👧👧",0.3522,0.6478,2.0,Negative,0.3,Positive
"Moje dcéry majú 12 a 5 rokov a obe milujú výživou do ruky,🍑🍌 všetky chute. 🍏🍊🍎",0.4165,0.5835,2.0,Negative,1.574,Positive
"A ja, ze to su glory holes..🤔",0.5,0.5,1.0,Neutral,0.0,Negative
"Najradšej  nejaká  zoo, kde môžu  vidieť zvieratká \n☺️🐶😼🐢🐁🐰🐔🐅🐩",0.5253,0.4747,3.0,Neutral,2.38,Positive
Presne a ked k nemu nepojdes aj tak povie ze si sla  👌🏻,0.4943,0.5057,2.0,Neutral,0.564,Negative
Basa mu prvá preletela hlavou. Ktovie prečo???🤣🤣🤣,0.3684,0.6316,2.0,Negative,0.0,Neutral
Oficiálna Facebook stranka Lidl Slovensko oslavuje 3. narodeniny 🎁,0.5004,0.4996,3.0,Neutral,0.767,Positive
All I want for Christmas is youuuu 🎄🎁❄😉,0.6421,0.3579,3.0,Positive,1.7690000000000001,Neutral
"Až na tú záľubu v alkohole ...😕,spievala krásne",0.5516,0.4484,3.0,Positive,-0.4,Negative
To lebo si este nepodpisal zmluvu... 😉,0.4512,0.5488,2.0,Neutral,0.464,Negative
LudvaKovacs\nSuper mobil 🙂,0.5412,0.4588,3.0,Neutral,0.0,Negative
Ja lubim skoro vsetky...ale skvarkovu najviac 😁,0.4867,0.5133,2.0,Neutral,0.45,Positive
"🎉𝗪𝗢𝗪🎉Zmena času prináša novú súťaž!😍 A nie hocijakú ale o tieto superluxusné hodinky značky GARMIN.😮⌚ Chceš ich vyhrať? Lajkni tento post, odfoť aktuálny čas na ľubovolných hodinkách v tvojom okolí a postni nám ich do komentára!😎👉 \nPravidlá súťaže: https://bit.ly/2y0SxWI",0.4328,0.5672,2.0,Negative,3.558,Positive
Vyhrame  SVK 4:3 CAN MOJ TYP 😂😂😂😂☺,0.5248,0.4752,3.0,Neutral,0.663,Negative
alebo ocenia aj spišské párky.🤣😏,0.5,0.5,1.0,Neutral,0.332,Negative
Aj my by sme chceli ružový pre našu mini Natali 😍,0.4947,0.5053,2.0,Neutral,0.678,Positive
Zase sa ukázalo za aké velké nič nás vo svete majú 😅,0.4585,0.5415,2.0,Neutral,0.18,Negative
veľkosť 4 a máme radi výživy aj kexiky 😉,0.3466,0.6534,2.0,Negative,0.464,Positive
Je to kráva pytomá hanbím sa za ňu 🐔🐔🐔🐓🐓🐓,0.4737,0.5263,2.0,Neutral,1.1459999999999997,Negative
Marek Lukacko na nich nepomôžu asi už ani tie dlazobne kocky 😁😁😁,0.4766,0.5234,2.0,Neutral,1.35,Negative
