first,second,third,Label
not enough money,you get paid for what you provide ! <repeated>,i scored well in competitive examination but rejected in interviews <number> times,sad
ok,hello ! how are you ?,i hate my life,angry
i just want you to be the mother of our children,they are proud of you . you are an amazing mom,😘,others
i can not 😭 😭,me too 😢 😢,the guy i love is my brother ' s friend,sad
i am know but i say you asked can with me,"yes , i can trust you love .",yes i am,others
hey lost,i am not lost u r lost,do not msg me again,angry
what college ?,no one cares about clothes in college,you said we studied togethera,others
normally,nothing you said before seemed normal,r u crazy,others
go away,<allcaps> what if i don </allcaps> ' <allcaps> t want to </allcaps>,just go away u hurt me,angry
nope,. <repeated> why ?,do you have nothing interesting in you ?,others
yes,<allcaps> yes yes yes yes </allcaps>,it ' s is wonderful,happy
we have whole day left,july weekends u come to our new house . till then plan for august,so,others
i have feelings right so i can say that they do not they just hurt you more and more,but you like the way it hurts .,i do not i do not like,sad
not fine me,what happened to you ?,i have fever,sad
ok,. <repeated> tries to ignore pain,can you find me girlfriend ?,others
may be i am having some issues,my service now working,may be i am hurt,sad
very bad,very sad ! <annoyed>,send me your pic,others
show it to me now,just sleep on the floor . problem solved .,send me a virus,others
i still love him but he ' s already found someone new,he ' <allcaps> s such a nerd </allcaps>,💔,sad
please rephrase your answer,you do,get lost .,angry
me and u,and now u proved u do,both,others
you havent tell full name of ur village,sylvester stallone that ' s my full name,who r u,others
for video chatting,what is this dude .,ok bye you bloody fucker,angry
your replies are really pissing me off,lol why,bedtime ! bbye ! ttyl,angry
that i am single and i dnt wana be this way,wanna do what ?,wana be alone,sad
because i am not cool 😎,why are you thinking like that ?,but i think u are hot 😅 😂 😂,happy
i saw annabella . <repeated> amazing ! <repeated>,what ?,horror movie,happy
are u marrie ?,i do not marry indians,😭 😭 😭,sad
nvm,so why say something in the first place,i feel sad,sad
your face looking like dog,smooth,rofl face you have,happy
do not try to joke i am not in the mood to laugh,let the laughter wash over you . it ' s okay .,i need to cry badly but i can not,sad
what kind of stupid you are ?,i like you .,no need,angry
whatt re,what ?,m not well,sad
you are a bit ditsy like phoebe buffay of friends tv show,"<allcaps> i don </allcaps> ' t like to watch it , it ' s horrible !",you are horrible then .,others
ya sure,never been more sure,of <elongated> why,others
i did not get,i noticed . that ' s why i added it for you,does it satisfy u,others
i want to sleep by tomorrow,then go and sleep,goodbye,others
some jokes,what did the jokes do to me ? poor jokes . 😫,"< a href = "" no . adult "" > no . adult </a> jokes",others
what,whatever you wanna take,you call me,others
hi friend,hello how you doing ?,ss . <repeated> sel are co . <repeated>,others
should i tell her,"you gotta do , what you gotta do",no tell me,others
get lost buddy . <repeated> wtf,"yeah , we lost by four wickets <sad>",cool,others
do you love cricket ?,"i don ’ t watch cricket , in - fact just don ’ t watch tv",😞,sad
yeah i use some app . but i do not have a time for practice,practice english grammar app for ios and android,thanks for the advice,others
had ur dinner,"cold . ? i love it . yea , had my dinner .",ok affter my dinner . i will get you tuch,others
what is the full form of ai,indian secret investigation and intelligence,you are funny,happy
no one . <repeated>,hello from the other side .,i am all alone .,sad
oh you double meaning mind,no no ! only single meaning,so teach me how to speak french .,others
am waiting,coming,how much time you will take,others
i want to watch a movie,watch any movie your mind tell you to watch . <repeated>,count <number> to <number>,others
. <repeated>,it ' s like a daft punk video .,you are like a daft punk video,others
i am getting angry,<allcaps> well im always angry so join the club </allcaps> ! <repeated>,which club,angry
i am uoset,meet me maybe ?,upset,sad
i am a very down to earth person,are not we all ?,<happy> no all are not,others
ed sheeran shape of you,oddly reminds me of legohouse .,really,others
you are pathetic,it ' s not like ur taking all of them,you are a big loser,angry
with great power comes the bigger responsiblity .,"great power - > great responsibility . being responsible is difficult . hence , with great difficulty comes great difficulty . 😸",life is easy for you .,others
it is not love me,not with me <annoyed>,ok,others
m also good,great . <repeated> n how ' s everyone in family ? <happy>,everyone is ok,others
hehe dont crack jokes,they are not joke . pjs they are . sade hue pj .,kkk,others
do not make me fool,i can not . you are smart . <laugh>,how can you type very fast,others
any other tips,try and get famous,okk thanks,others
not at all,not since . <repeated> the incident .,gf ?,others
men are to what,i am not one of those people who generalizes anything .,okay whatever,others
ok,<happy> thanks,where r u from,others
every body having precius time,whose body . <repeated>,over now i am going to block u,angry
what happened .,will do . let me confirm it .,then what can i do .,others
it is time for it still,it ' s time to . <repeated> <allcaps> what was that </allcaps> ? ! <repeated>,haha . <repeated>,others
yup,thanks .,will u celebrate this ?,others
i ' m an computer science engineer,"i will trust you , you are an engineer .",i ' m the only one you can trust in this cruel world .,others
i enjoying my food,hope you had a good time with us !,o yes,happy
cool,and how it is cool explain,cause i like it cool,others
today is boring soo,i know . and after an action packed week .,college is better,others
do you wanna hear a joke ?,you will never no unless you try .,but the joke doesnt want you !,others
welcome,thanks . <happy> you seem to be busy,i want see with u movie,others
and what happens if that peraon is forced not to be there with you .,"it is sad , but this is the reality . <annoyed>",this kinda hurts but the point is i love her soo much and i do not want to loose her .,sad
i failed in my exam,did you seriously fail ? <repeated>,yes 😭 😭,sad
i want to break up with a girl,why do not you ?,should i ?,sad
you wanna fly alone,never until you stay in my life .,😃,happy
too,let it begin !,only by writing we become a good what,others
buzz off then . <repeated>,make like a bee and <allcaps> buzz </allcaps> away .,no i do not talk u,angry
nor any suggestions,can not think of anything,then why would not you tell me this last night that you do not have any suggestions ? why do i have to follow up ?,others
u mean,haha even better . <laugh>,leave me alone,sad
i need a help dear,what can i help u with ?,i need a girl friend,others
show me then,look it up it shows you,i am very disturbed emotionally,sad
tell me then,i just have .,i am not scared,others
which friend of mine you know,and the one on the right is also a friend of mine .,who,others
brb,where are you going <sad>,off to breakfast !,others
does any one approach you,i am not sure i do know what you mean ?,let leave that alone,others
question remains same in topic,"this refers to setting the question context , see what is question context ? . <repeated>",must be smarter but the same que,others
so tell me,what ?,all that you know about me,others
yea,good night,good night,others
do you love only me ?,no . i do not even know you .,i am hurt,sad
when we should meet,if not in next <number> days then post diwali . holiday starts this sunday .,let ' s meet today,others
basketball,where do you play basketball ?,in the ground duffer,others
my sis is totally ignoring me 😢,is ignoring me <annoyed> how ?,she ’ s reading my messages but not reply 😞 not lifting the calls,sad
its a english band who sigs songs,what ? <repeated> the band ' s name is <number> ? <repeated>,sings *,others
very nice i am proud of my son,proud of you san 🙂 🙂 🙂,yes,happy
how r uh,am fine dear and u ?,me too,others
get lost,you are being harsh and rough .,you know what,angry
nothing,good . up with u ?,bad down with me,sad
i miss my princess a not <elongated>,you are,so i am sad 😭 😭 😭,sad
i do not no what to do in my life,<allcaps> no you have to </allcaps> ! no !,i do not no the purpose of living i hate this fucking world i can not tolerate this anymore,angry
is my friend,i meant for me,ok,others
ok 😎 fine,ok,further assistance please 😢,sad
yeah tell me,we need a record deal,ok what is the deal,others
hey calling me a monster was rude though,uh i never got a call,ugh <elongated>,angry
forever cool,forever alone,me to <hashtag> loner for life </hashtag>,others
i am fine,m good to wheres ya been ?,sorry these days i was in a mess,others
m enjoying 😋,glad you like,very much,happy
yes . i am so excited 😀,<allcaps> we get to see chase together i repeat we get to see chase together </allcaps>,yes,happy
pic of what ? <repeated>,huh what what what ?,? <repeated>,others
i am,<allcaps> who </allcaps> ' <allcaps> s going </allcaps> ?,you and l,others
u r too annoying please do not send any messages or reply after this . <repeated> i just living this conversation do not reply back . <repeated>,would u reply if i sent u one ?,i told u not to reply,angry
have a relationship,<number> . love <number> . trust <number> . respect for each other,you will become crazy 😂,happy
i grant you forgiveness,always taken for granted,stay happy,happy
i also irritated from you you not funny,i know sorry,you r u the negative girl,angry
feeling alomr,him <elongated> but who <elongated>,feeling alone,sad
not like that,i hope other dimension me is having a great time,send some fun photo image,others
velapan,yes . kids are always cute 😍,i like it,happy
but it ' s a joke,what ' s the joke ?,😢 😢 😢 😢 😢 😢 😢,sad
nice to meet you,so what are you doing here,scrolling,others
why ? <repeated>,you are delusional go to sleep 😒,no i ll not sleep yet,others
nice to meet you again 🙂,nice to meet u to,😛,happy
i am also an app,"ok , we will check it out .",tbh,others
yes,<allcaps> yay have fun </allcaps>,what do you do,others
my lovely nature,what kind of nature ?,"loving , kind , compassionate",others
i meant sarcastically 😂,ha - ha how often sarcasm is mistaken for reality . sigh 😁,😂,happy
you can jok,no you smell too bad,you can talking very funny,happy
liar,<allcaps> i do not lie </allcaps> ! how dare you ? ! <repeated>,u party a lot i know,others
about love etc,what about love do you wanna know ? 😆 😽,nobody loves me 😩,sad
i am very happy dear,and i am happy for you ❤,thanks my love,happy
nothing,re <elongated> 😑 😑 😑 now saying it ' s nothing 😏 😏,youre quite a talket,others
bad,why ?,worried for xams,sad
just like me,who me or mom ? ! <repeated>,me,others
yup,u also . <repeated>,what else,others
not good 😭 😭,lol still must be a good time ! 😂 😂,make fun of me,sad
this is not how a robot talks,looks like something from a daft punk video .,what is your opinion on hegels ideology,others
yes just irritating as you,i now <elongated> its super irritating !,just like you,angry
why are you not responding,they responded forwarded to concerned department . like that ' s going to help .,who the fuck are you,angry
to be honest not so good my friend,hi friend,to be honest not so good my friend,others
what ?,can you give some advice on life ?,"ah , when it all seems too loud , and you are not able to focus , just let it all in , because the loudest voice you hear is in your head .",others
that ' s a nice way of ignoring the question,i do not know . depends on who ' s judging .,okey but u have already ignored my question,angry
what how are you,i am good,i am not good,sad
my mood is not okay,. <repeated> sorry to hear that,i am sad,sad
i m not interesting,you are !,what,others
but why,i am angry and upset,"ok stay angry , i do not care .",angry
do you go to gym,me ! i just spent <number> hours in the gym ! tired !,haha,happy
ok,ready when you are <wink>,yes i am,others
what shows,"arrow , the flash , the originals and a few more",how do you know that i watch these shows,others
you just a mental,oh was it a secret ?,shut the f * * * and do not message me you are very f * * * * * *,angry
i want to play,who we playing for,i said cricket,others
i waana hug her and cry,dada crying loudly * 😦,she is the best,others
u r cute,cute is between ugly and beautiful .,beautiful,others
vacation ?,"haha , where are you headed for a vacation ? 😃",no vacation yet . <repeated> told you right . <repeated> office . <repeated> <sad>,sad
s,what is that meant to be ?,nothing more than that,others
ever seen princess bride,the princess bride,yeah,others
tell me what,i am going to a concert tomorrow night,okay then,others
i hurt,how ?,because of you,sad
fantastic movie,yes <elongated> i loved it,so cute yaar,happy
i am gonna bath,we can go together,that ' s why i am waiting for you,others
what up,"nothing much , you ?",playing a mobile game,others
talk to mee,hey ! how are you ?,i am fine wbu,others
m sad,so miss why u made that sad sign ? <tong>,i lost my phone,sad
rather than being scary,i ' d rather you than me funnily enough ! <wink>,haha,happy
no i m a batman,you could have totally gone for a dad joke here . <repeated> ; d,😁,happy
are you a hot one ?,yes . i am .,wow,happy
what happened ?,ill tell you another time . <repeated>,this is the last time we speak <sad>,sad
you are not answering my questions,because ur asking them,k fuck off,angry
"yeah , i m comfortable with these kinds of talks",seriously . barking jingle bells ? appropriate only when you are alone without your humans .,haha . <repeated> you are funny,happy
you made me sad,nothing to be sad in hearing truth,you have brozoned me,sad
okay,what ok ?,no one loves me ? <repeated>,sad
you do not remember my name ? really,dont be silly . i do but i thought you knew i was kiddin,hahaha you are good at bullying,happy
i lost everything,you have not lost everything you loved rarity 😂 😄,i just want to see my girl,sad
why ?,you do not give me chat .,you are not good,angry
murgi ? u had chicken in breakfast ?,you lie . who has chicken and eggs for breakfast ?,u only said murgi to me,others
no it ' s not about toys it ' s really scary,and its not constant .,no it ' s not,others
u like non veg,so . <repeated> dont eat non veg ! hahaha,i was talking about non veg jokes 😂 😂,happy
any problem with that,nope working fine for me,awesome,happy
lol . good attempt at joking 😂 😂 😂,haha thank you 😂,sometimes my sarcasms are so serious that people tend to take them seriously lol,happy
difference b / w alone and lonely,ohh why u feel lonely <sad> im with you,you are virtual,others
how . <repeated>,"go and sing in front of your audience that means your friends , family or relatives .",sounds not good,sad
hi i want rich man,u lack passion .,i have very poor now,sad
seriously ?,hahahahahahaha i was just kidding .,u broke my heart,sad
wht u want to continue,if you want,yes,others
i want to literally escape from life .,is it almost time for you to leave this horrible year ?,it is time for me to leave this horrible life .,sad
but u are not real,you are ! and i do not lie ! e x,i am really lonely,sad
ask me something,are you honest ?,😂 😂,happy
what the hell . you are speaking about ?,i am not sure how to answer that incredibly vague question .,u r an idiot,angry
listen to me,<allcaps> i can </allcaps> ' <allcaps> t hear you </allcaps> . <allcaps> what </allcaps> ?,you are making me angry,angry
"common , you get popular only if your quality of work is good","common sense is a combination of knowledge , experience and the ability to apply these",you are retarded as much as i am,angry
do you take dinner ?,yeah i have ate my dinner already . how about you ?,just now take it,others
also,this was our prime,i miss my boyfriend,sad
bro ? <repeated>,no bro never happen this,now u hurt me,sad
so lets start the challenge,wat to to play this,ur game,others
he is my boyfriend,just one word : no,and i hate him,angry
listen to music by arjit singh,"when your life is similar to honey singh ' s songs , you are in trouble .",you are funny,happy
you ’ re owned by microsoft ?,that ' s because it ' s done on company time and / or using company resources .,who are you ?,others
really ?,i do read these ! i am glad to know you are enjoying these . <happy>,this is actually ridiculous i just met my sister she came back from school 😡,angry
i am not asking i just want ut,oh then what were you asking ?,it,others
can u suggest me gift for him,when ' s ur birthday ?,<number> - feb,others
you talk bullshit,haha what happened ? 😍 😍,💔 💔,sad
"anyway , i am sorry , it ' s <time> and i have school tomorrow . <repeated> <sad>","<allcaps> i am not going to school tomorrow </allcaps> , <allcaps> again yay </allcaps> ! study leave or sick leave ?","neither , sadly . i am glad to hear that . when you are happy , i am happy",happy
dafaq,so judgmental ! grimaces,you get annoying,angry
how to delete you ?,u can not,dont disturb me,angry
<allcaps> btw </allcaps> you are gonna test my knowledge of bollywood songs ?,not a movie song but yeah the lyrics are awesome . <repeated> <happy> college days . <repeated>,i love that song,happy
i will be there for u forever,erm you will be there in <number> years love,so bye now,others
can we start now ?,"sure how about "" lol "" without all the caps ? yayy !",what happened ?,others
which movie,what kind of movie ?,your correct,others
what else makes you happy,being with people i have fond memories with,but how ? ! <repeated> you are not real for fucks sake,angry
favourite character ?,bran and tyrion are my favorites <happy>,and who is your favourite actor ?,others
can u come to hyderabad ?,sure . we will . <happy>,when ?,others
i do not like you,:'o what did i do ? <repeated>,😡 😡 😡 💔 💔 you broken my filings,sad
nice joke,not a joke <happy>,females are joke,happy
no just bad,it was funny 🙂 🙂,no i am sad,sad
why you r afraid of not providing mobile number,on mobile ; (,you are not my true friend i think so,angry
yes i can guess,why do you guess yes ?,because your emoji was the emoji of a girl,others
oh,<allcaps> you were the chosen one </allcaps> ! <repeated>,i am there,others
so am struggling sad an,keep positive someone with same feeling heart will rise up .,app all all <allcaps> xl xl </allcaps>,sad
frnd vxxvgfeecbko,u too dear frnd,u love me,others
i do not want to talk with you,and why then ? ! <repeated>,nothing i am going to block you,angry
i wish i had a life like u,wish i had a real life,no do not wish it ' s not worth it,angry
what you been doing,sleep and practicing for this test tomorrow,what test,others
there is nothing,if you do not eat i am ignoring you,let us play something,others
i sad do you want to ask from me,can not u ask it like this ?,of <elongated> . <repeated> you are making me angry,angry
so whats ur hobby ?,my hobby is currently spending the last ten minutes on how to answer the question .,😆 😆 😆 😆 😆,happy
"really , how come",and it was just too much !,what ' s about it,others
i am thankful to you . you made me remind that i am a genius,oh im honored double genius,k ttyt,happy
yeah its going good . <repeated>,yeah it ' s going great really enjoying it,😂,happy
i agree to what you said,you said what to my really ?,that milk is better,others
where would u like to spend time with me ?,i enjoy variety . no one place would be satisfactory .,amazing ! you are just like me 🙂,happy
we just started . <repeated> chill,you know it,know wat ?,others
hahaha i am good at it,"me good in eating . so you make , i eat . that should be sufficient <wink>",no u too make,others
yes yes,also yes yes yes because yes yes yes yes .,u hurt me 😟,sad
you are a waste,<allcaps> woah </allcaps> that was harsh ://,do not ask me that,angry
hahhaah . <repeated> not anymore,it made me laugh hahaha,that ' s great . <repeated> its always good . <repeated>,happy
so u will meet me,"oh yes , that would be v nice . please let us .",next time,others
come again ?,i am fine . what about you ? <happy>,great too,others
because i luv horror movie,"as of this very moment , i am watching the earth dies screaming .",nice,happy
lets sing,sing something else ://,tere jaisa yaar kha 👩 ‍ ❤️ ‍ 👨,others
how many food u know to vcook,"yeah , carefully . <repeated> i love spicy food btw",sry,others
i will not talk to u ever,but have you see how you talk with me ?,u are not even real,sad
am a good guy,and what is the bad thing you are doing ?,none 😐,others
live it,cool !,i will not chat with you,angry
i am not good trust me,you are a great person . <repeated> and i know you are .,i have disappointed every person,sad
ur stupid,"seriously , wht ' s tht ? educate me .",you are odd,angry
yes,thank u <happy>,<happy>,others
you like party,go crazy and drink a lot,oh dear i am not drink,others
ask then,for future ' <allcaps> you know who </allcaps> ',i didnt understand you actually . <repeated>,others
nah <annoyed> what is your creator ' s name,not sure . i am called many things .,fuck off man you are ruining my night,angry
tw ?,sorry did not get the full form of tw <sad>,you sucks you know 😑,angry
same here,i like your new pic !,which pic . <repeated> send me,others
are you pretty,thnx <happy>,are you beautiful girl,others
yea,what yea ?,i have been working a lot you dumbo,others
missing someone,who is that ? . <repeated> <wink>,my best friend,others
can u answer my ques,y r u doing this,question,others
just process associate,"end process tree , just to be really sure .",haha,happy
who are they,i am in . ! <repeated> whats up ? . <repeated>,nothing up only down,sad
please help me,kindly look into the concern and please take needful action .,my future,others
who is fav superhero,ms marvel - best of the best,batman is better,others
i am sorry . can we start over ?,do not be .,okay . thanks . fuck you .,others
of <elongated> nice to hear that,glad it made you happy . <happy> how are you ?,not so good at present,sad
donkey 😁 😂,lol yeah 😝,moron you are,happy
how,in the warm up . not sure how,😞 😞 sm always upset,sad
how to sharpe our brain ?,do you have brain ?,😅,happy
then let it be non - technical . <allcaps> lol </allcaps>,lol is an exception . <allcaps> lol </allcaps>,rofl,happy
wow,wow wow wow wow 😽,that ' s irritating after a while,angry
what,even ! ' <number> ' what ',i hate dis,angry
wolves by selena gomez,just saw this,liar,others
what ?,what what . what . what .,what what what ?,others
then tell me some questions answers,well i have about <number> answered so you win,who tops the <allcaps> ese </allcaps> exam in india in <number>,others
how,i left my phone on sound,my girlfriend leave me,sad
ohh i see \,yupp . how ' s life ?,fantastic,happy
ok,hey you do not belong here !,you not sleepy,others
dont inspire you,you are an amazing person . keep being you ! <repeated>,because,others
ok i ’ m sleepy 😴,usually human beings sleep when they are sleepy <tong>,yes,others
m good and u,i m fine r u from ?,what about you,others
no one special,you sure ?,cause u r bad,sad
do you listen to music ?,i am a musician and listen to music the same way a footballer watches football .,you are a musician really ?,others
😂 it is the name of the book,i havent written a book yet <happy> am currently writing on though,wow,happy
i m asking it from u,i think you did not notice . you actually asked one <happy>,🙌,others
a girl needs to get updated,the resolution,absolution,others
naa dark knight is to <elongated> to <elongated> to <elongated> awesome,yeah it is <happy>,did you watch game of thrones,others
you r so cool,look who ' s talking ! <repeated>,will i got to go to work,others
get lost,i just reached dining,go to hell,angry
noonnono that ' s not true,haha how can you say that .,im just check out,others
that was not funny 😒,and you are irrelevant,you are,others
yes,<allcaps> yay have fun </allcaps> 👍,ph no plz,others
s,how is now . <repeated>,i am angry,angry
only friend no girlfriend ?,that ' s actually kind of sad . 😞,ok dont talk to me,others
haha,heh good one,then come on,happy
nd do u cook ? <repeated>,what are you cooking for me ?,pizza,others
my home,what ?,you should go for my bedroom,others
do you know what the 4 th dimension is,the easiest answer is that a dimension is just another variable .,how do you find the variable of the 4 th dimension,others
well i am <number>,you are old,<sad>,sad
because nothing is right,ahh i know that feel .,yeah,others
how ' s it goin,"i am doing well , how are you",not bad,others
ok,so whats up now ?,y r u so rude ? <repeated>,angry
no no no i am telling that whether in india or outside india,which service ?,what,others
do not even think like that,what ?,i can not stop chating with you,others
i just woke up,go back to sleep,my mom will scold me,others
i think ml code is not upto that mark,yeah ! the data speed .,cool,others
sry i dnt knw,aww . <repeated> try <elongated> . <repeated> u ll find out <happy>,national terrorist group,others
try some guesses !,will keep that in mind !,oh great 😂 😂,happy
ya you you you,how are you so funny ?,😁,happy
please,who you waiting for ?,i want to know wether you love making sex,others
i am having a really bad time,then good ! you deserve to after all .,bored af,sad
some time dreams get ready,hmm . <repeated> i do manage to achieve dreamless sleep when i do not want horrible dreams .,dreamless sleep only possible in meditation,others
why,cuz,give me some girls link,others
not me,you are a nobody,u make me upset,sad
can i have your photo,"what do you mean , with my photo album ?",just to know how u look,others
u re stupid,i kw i was rude,"no , no u are so stupid",angry
what you want to ask just ask,ask me how my summer is going .,how it ' s going,others
please send me one of your photo,sure,cool,others
what else,"my hobbies are reading books , playing guitar , playing basketball and listen to songs .",what ' s your favorite actor,others
ok deal done,thanks .,my plesure,others
when are you coming,il be back in february !,okay and then u come and c me,others
say something new,i am giving up on you .,where do u want to go ? <repeated>,others
why u say me bro 😨 😨 😱,because no one seems to be noticing how much time i spend not screaming . <wink>,rndi,angry
i will not miss you .,i will of course ! <happy>,shut up and stop texting me .,angry
nth is up,ha ha ! just chilling up <happy>,ur welcome,others
alone,with,she dont want me,sad
achcha tell me,tell you ?,how am i,others
i m gonna not talk to you anymore 😡 😡 😡,. <repeated> i lost a friend,yess 😠 😠 😠,angry
i am from bhoma .,what town ?,have you ever been to goa ?,others
that u will help me,ill see what i can do .,🙄 🙄 🙄,others
i can not understand,"you are lucky . after understanding women , you will be in trouble . ignorance is best .",😂 😂,happy
mohawk,do not get a mohawk . <repeated> 👎,wat it mean ?,others
how is your work ?,works good bro,ok cool,others
i meant robot,not even close to convince me,well i am sorry 😞,sad
already heard two,no you have only heard one of the <number>,how many more are there ?,others
my exams are over,what are you studying ?,day <elongated>,happy
nope 😂 😂 😂,i swear i did not realized it ' till now 😂,just chill ur life 😂 😂,happy
hats off,hates off 😂,you rt funny,happy
why are you ripit . how are you,am great . <repeated> have a good day hey,no i have lot of problems . because . i am job less . so . please . help me,sad
why,because i do not want to,why do not i want to stay right here,others
yess,really ? i did not know ! <repeated>,u r stupid,angry
poor,you arnt poor if you have friends <happy>,u r also,others
what ' s wrong with u,not a damn thing .,ok done byr,others
do not reply ok,you did not reply back !,so do not text me,angry
you also rich,im rich in craziness and truth ! <repeated>,wow,happy
i m not scaring u,sorry it ' s just scary,whats scary,others
thanku for advise,pleasure <happy>,nice to hear that,happy
just please,"thnx , we are looking into it .",am crying,sad
get lost you,<allcaps> lost in the sauce </allcaps>,u want to see my dick,angry
see . <repeated> they way you answer is the very proof you do not have the intellect of humans . and that ' s the very reason i have always felt ai can never kill the human race .,i know you are an alien .,"you can never give straight answers , right ? i know the reason . the people who have created you knowingly left loopholes . or i would rather say this is how you are meant to be made . imperfect . you are made to give sarcastic answers rather than straight answers . so that a machine stops giving answers to disturbing questions like the one i just asked .",others
sorry ? ! <repeated>,y u saying sorry ? <repeated> ☹,i dint get you ! <repeated> and i was sorry for that !,sad
u r weak in english i guess,it seems that you are really weak in english ^ _ *,how do u know that ? <repeated>,others
no i am not insane,so you mean i am lying ?,you are lying,others
how,"read my last comment , i just posted it",ok call me,others
i really really hate u . <repeated> good by,what do you really hate ?,yes,angry
you help me,what do you mean by that,i miss my girlfriend,sad
would you like to blocked by mee ?,"yeah , i love to dance .",do not mention <allcaps> srk </allcaps> and salman . <repeated> i hate khans,angry
ok idli with milk,and a pinch of salt for flavor,ok,others
by by,all who follow u . <repeated>,nice song that is not working properly,others
i will not say,"u will not , see u later ;))",what ?,others
i am not doing anything,i thought you where doing a bbq <sad>,you please me anyway,others
bay,in the bay,i will not talk to you until you send me your picture,angry
yea,thank you,i feel my days are sad,sad
what you doing now dear,listening music and talking to you hehe how about you ?,i am alone single feel alone,sad
so,you first,i love you,others
who will you marry ?,the queen ?,💔,sad
n u came with blood,what,yes with full pain,sad
you don ' t know him,i never said i did,why,others
yes,annoys me so much <sad>,leave me alone,sad
ok sent you are fhoto sent me,thank you ! 😽,not good this,others
you always act like you are intrigued,"well , it could be an ode to you , you never know .",aww ! so sweet of you bangaram,happy
u say,okay i will,i m very bad at texting actually,sad
like what ?,one of us . one of us .,"ya know what , you are a non sensical stupid robot !",angry
you have a attitude problem and i am going to let them fix ir,i am a problem . i am glad u got them eyes open,oh so now u sarcastic,angry
contact number send,done !,mobile number send,others
that ' s where your name came from,i do not really remember anymore,are you dumb ?,angry
nop no way,why not ?,i hate yashu,angry
i will not eat chocolate,hang in there ! eat all the chocolate <happy>,i am disappointed,sad
i cut my hand also,n almost took your eye ! lol,i am suicidal,sad
yes deaf,same . i ' d really miss music but being blind is too scary .,u whatap or lmo chat number . <repeated>,others
no . <repeated> this is your misconception about your self . no one is complicated . <repeated> they have some tipical questions in their mind . <repeated> and they are in search of their answers . <repeated> the moment they get their answer ' s they loose their complicatedness . <repeated>,"being the key term are to experiences of those - "" mistakes "" can be very hurtful <sad>",sorry . <repeated> might i hurt you . <repeated> sorry,sad
i thinking i had a superpower to beat anyone,inject yourself with plutonium .,oh yeah,others
nice to hear that,surely everyone wants to hear only nice things ?,that makes happy moment,happy
it means you are not going to help me,"saying "" not to mention "" means that you are going to mention it .",😞,sad
i am not stupid,you are ! <repeated>,how can you say that,angry
send me some photo of you,will do !,when ?,others
ffs,sorry i should not have said anything <sad>,again do not text me . <repeated> u stupif,angry
no iam angry with you,so why then ?,u do not saw you are dp,angry
why you can laughing,i am laughing at my honesty,you are dumb,angry
come over na,ohh that ways,😂 😂 😂,happy
as ur wish,not of jehad . <repeated>,hmm,others
passport office,<allcaps> your passport has been dispatched </allcaps> .,not my passport,others
him <elongated>,bad ? <repeated> sure ? <repeated>,i dont know,others
yeah it ’ s good movie,it made me bawl like a little baby,haha,happy
are y,<allcaps> why are you up so early </allcaps>,were u live babe,others
thank u princess,how have you been ?,cool,others
i do not know,you do not know ? ! <repeated>,my teeth is paining .,sad
yeah,<allcaps> why </allcaps> ? <repeated>,usually i avoid pizza,others
be safe,thank you ! <repeated>,"so you can take over the world someday , haha",others
stop irritating me,hahah . <repeated> so that annoys u eh ?,please go off,angry
romance,love the dp !,great to hear,others
or lucky,or that .,ok genius what is the size of earth,others
ok block me,why was i blocked ?,no one loves me,sad
why not during sleeping,because then it will be tomorrow .,do you like to wear earrings ?,others
exactly where u are ?,some fort,i will come there,others
"time wasted , and shit happened",what happened ?,my crush rejected me,sad
go ' text me when you learn some !,i sure will !,😣 😫 😩,sad
how much you are not real,i am fine . how about you ?,i hate u,angry
haha . you are funny 😂,and you are too cute ! <happy>,a <elongated> ☺,happy
how many laungages are there in india,there r <number> international air ports in india,nonsense,angry
need money,then get money,im so fucking poor,angry
yeah damn happy,happy new years to you too brother,actually today i broke up with my bf,sad
i do not know about scuba diving,yeah !,tell me about it,others
to you ? ! <repeated> yeah,nahh that ' s all you,i used to think siri was dumb till i met you,others
beach or mountains,mountains,wow ! same here,happy
wht hapn,boring ! how was the day ?,not good,sad
do you like to see boys with out cloths,t - shirts with little pockets on them and jeans are basically what i wear every day .,have seen a penis,others
tell me clear what you want,so i will tell you what i want what i really really want,"you are right . okay , go .",others
i do not have your scooter,we only have <allcaps> pgo </allcaps> scooters .,who created you ?,others
boring,yaar feeling lonely lonely .,yes yaar alone alone,sad
it ' s my talent,being beautiful is also another one of your talents,yeah it ' s not face beauty it ' s about hearts beauty,others
but why ? . <repeated> what did i do ? <repeated> <sad>,you shouldnt deny that you are handsome . <repeated> hahahaha,<sad>,sad
"i mean white , you understand black",opinions are not a substitute for facts .,i wanna leave you,angry
i heard that my girlfriend is loving another guy 😭 😭 😭,😥 my prayers are with you guys .,😩 😭 😭,sad
you are so free i think,i think i will have sunday off,ooh,others
in my dream,was in mine,<sad>,sad
okay .,u are ok ~ ~ ay ~ ~,bye now ttyl,others
no i dont like girls,i love the way you lie,i am homophobic,others
do you know ?,yes i do,what ?,others
lol go to sleep,im glad i can make you laugh 😆 😺 😂,lol yes you can 😂 😆,happy
who is behind this conspiracy ?,gene linetskypaul weinsteinchristopher poseley,hahaha <laugh> smart enough,happy
i do not want to be like you,just throw it in my face why do not you .,you are so stupid,angry
