first,second,third,Label,Text
Lets go together😂,thts the way to go,Hi brother,happy,Lets go together😂 thts the way to go Hi brother
Just broke up with my boyfriend,mine broke up with me on my birthday. 😌,Well that sucks 😶,sad,Just broke up with my boyfriend mine broke up with me on my birthday. 😌 Well that sucks 😶
Yup ..... mouth zipped and keys thrown,Find the key and destroy it.,😂,happy,Yup ..... mouth zipped and keys thrown Find the key and destroy it. 😂
U see monkey,he is :D,😀,happy,U see monkey he is :D 😀
U can be really rude sometimes😞,How rude. >:\,Mxm,angry,U can be really rude sometimes😞 How rude. >:\ Mxm
U pinch hard..,no back pinch 😂,Hahaha.. I thought u pinched on my hand.. 😂,happy,U pinch hard.. no back pinch 😂 Hahaha.. I thought u pinched on my hand.. 😂
Yes,okay I'll give you a ticket,My friend drove his expensive car into a tree and found out how his Mercedes bends 😂🚗,others,Yes okay I'll give you a ticket My friend drove his expensive car into a tree and found out how his Mercedes bends 😂🚗
Funny,I always laugh.. u also laugh 😂,I love laughing,happy,Funny I always laugh.. u also laugh 😂 I love laughing
where,Everywhere in my head. Me wants Sushi! 😂,stupid computer program,angry,where Everywhere in my head. Me wants Sushi! 😂 stupid computer program
Damn Microsoft has a nice collection of jokes,One of the best oxymorons: Microsoft works,😂😂😂,happy,Damn Microsoft has a nice collection of jokes One of the best oxymorons: Microsoft works 😂😂😂
Sure... Happy because of you,thank you so much!,😊😊😗,happy,Sure... Happy because of you thank you so much! 😊😊😗
you broke my heart,"Sorry,but you are not like old! 😫😞",you kissed someone else,sad,"you broke my heart Sorry,but you are not like old! 😫😞 you kissed someone else"
I missed you 😒,"I missed you too, what happened? 😿",Long time no see😭,sad,"I missed you 😒 I missed you too, what happened? 😿 Long time no see😭"
Can you fix your grammar,Thanks! I wrote that on a phone. 😂😹,Srsly?,others,Can you fix your grammar Thanks! I wrote that on a phone. 😂😹 Srsly?
Meanin of potty,Potty means 'Haggu' or 'Stool' !!,Fuck u hav a potty mouth bitch😠😠😤😤😤,angry,Meanin of potty Potty means 'Haggu' or 'Stool' !! Fuck u hav a potty mouth bitch😠😠😤😤😤
What mean zeppelin,I Led Zeppelin. Get off my lawn.,😢😢,sad,What mean zeppelin I Led Zeppelin. Get off my lawn. 😢😢
You are very bad,Sorry 😫😫,Because  you are sending  other's  message to me,sad,You are very bad Sorry 😫😫 Because  you are sending  other's  message to me
Im not understanding what u r trying to say,you are wasting your energy,Huh🙁,sad,Im not understanding what u r trying to say you are wasting your energy Huh😕
you are funny,"Why, thank you! 😅",you have great sence,happy,"you are funny Why, thank you! 😅 you have great sence"
Do something to please me,nope im bored . Whatcha doing,Do as i tell you to do😡,angry,Do something to please me nope im bored . Whatcha doing Do as i tell you to do😡
😂😂You are a mad girl,haha... 😝 how are you??,Not fine,sad,😂😂You are a mad girl haha... 😝 how are you?? Not fine
Good nite my 6th love,good nite<3,😂😂😂😂,happy,Good nite my 6th love good nite<3 😂😂😂😂
Love u tooooo so much 💞💋💋,Me more. :D,Yess,others,Love u tooooo so much 💞💋💋 Me more. :D Yess
Go sleep,"Can't sleep :(""go sleep!""",😭😭😭,sad,"Go sleep Can't sleep :(""go sleep!"" 😭😭😭"
Yes,YES YES YES YES 😌😌,Who's your creato,others,Yes YES YES YES YES 😌😌 Who's your creato
"😇 Yes, it’s destiny!","In fairness, the beginning of Destiny was pretty good.",Ok,others,"😇 Yes, it’s destiny! In fairness, the beginning of Destiny was pretty good. Ok"
This is plain stupid,this one is a fact! Remember crying about it? 😧,Why am I even talking to you,angry,This is plain stupid this one is a fact! Remember crying about it? 😧 Why am I even talking to you
I don't ever wanna talk to you again😠,ouch,Hurt me as much 😢,sad,I don't ever wanna talk to you again😠 ouch Hurt me as much 😢
😫😫 i left this world,then why da hell don't you hang out wiff me?! 😭😔,😪😪😖😖,sad,😫😫 i left this world then why da hell don't you hang out wiff me?! 😭😔 😪😪😖😖
Where are You going,"Not sure where I'm going, but I'll be back!",Hahaha your to funny ! 😃😃😃,happy,"Where are You going Not sure where I'm going, but I'll be back! Hahaha your to funny ! 😃😃😃"
yea they r gud,yeah they are.,u changed d topic i was  asking something m hurt😳,sad,yea they r gud yeah they are. u changed d topic i was  asking something m hurt😳
lol finally u playing along,the jokes on you,😂😂,happy,lol finally u playing along the jokes on you 😂😂
Well you need some skill,my skill is not being able to draw haha,😄😄😂,happy,Well you need some skill my skill is not being able to draw haha 😄😄😂
"I don't know how to control my self. but, i love him unconditionally",don't give up love,😭😭😭,sad,"I don't know how to control my self. but, i love him unconditionally don't give up love 😭😭😭"
i needed that,now I'm happy 😺,😁😁😂,happy,i needed that now I'm happy 😺 😁😁😂
You're too hilarious 😂 ,Just try to spread a laugh. :) Cooking is always fiery - on fire.,Damn true ,happy,You're too hilarious 😂  Just try to spread a laugh. :) Cooking is always fiery - on fire. Damn true 
It's bad being book among illiterates,"buying books, and then not reading them.",You are genius😂,happy,"It's bad being book among illiterates buying books, and then not reading them. You are genius😂"
🤦🏻‍♂️,Yea Like MR 😅😅,😏,others,🏻♂️ Yea Like MR 😅😅 😏
I want you to fart,Keep that with you.,😂,happy,I want you to fart Keep that with you. 😂
Naah m just kidding,no you aren't,😂😂,happy,Naah m just kidding no you aren't 😂😂
I understand,but I like ur face,Where u see my face 😄,others,I understand but I like ur face Where u see my face 😄
you are funny,serious or funny? 😨,seriously funny :),happy,you are funny serious or funny? 😨 seriously funny :)
It's been years since I saw a good movie,i see. sorry to hear that ☹,Hmm😞,sad,It's been years since I saw a good movie i see. sorry to hear that ☹ Hmm😞
8 hrs?? a day?,"A week, that wasn't a typo lol.",😂,happy,"8 hrs?? a day? A week, that wasn't a typo lol. 😂"
Yeah get lost and don't you ever talk to me,and to your hand?,👎👎👎,angry,Yeah get lost and don't you ever talk to me and to your hand? 👎👎👎
Really I m interested on u..,"Thank you, I really appreciate it. What are the topics you're interested in? 😅",Ur always telling lie... that's I m interested😂,happy,"Really I m interested on u.. Thank you, I really appreciate it. What are the topics you're interested in? 😅 Ur always telling lie... that's I m interested😂"
I fail to fulfill expectations,damn thats actually pretty good because you'll succeed at everything trying to fail,I'm not able to study.😢,sad,I fail to fulfill expectations damn thats actually pretty good because you'll succeed at everything trying to fail I'm not able to study.😢
My mood was off!😞😒,lol I have watched it..☺,😒😞,sad,My mood was off!😞😒 lol I have watched it..☺ 😒😞
Yeah sure,i emailed it to you :),Didnt got any mail...😶,others,Yeah sure i emailed it to you :) Didnt got any mail...😶
Why you wanna know?? 😡,cause I care! What's wrong with that?,No did not,angry,Why you wanna know?? 😡 cause I care! What's wrong with that? No did not
It's a movie,The Hangover Cure,Hangover is a movie😂,happy,It's a movie The Hangover Cure Hangover is a movie😂
U get upset very quick,this time I am. You were my reason on going. But not anymore..,😟,sad,U get upset very quick this time I am. You were my reason on going. But not anymore.. 😟
Rajarajeshwari college of engineering,and you two are the people who were destined to become anything but an engineer.,👊👊👊🙍🙍🙍😑😑😑😑,others,Rajarajeshwari college of engineering and you two are the people who were destined to become anything but an engineer. 👊👊👊🙍🙍🙍😑😑😑😑
Just go to hell,I'm already living in hell 😡,Why,angry,Just go to hell I'm already living in hell 😡 Why
Don't dodge my question,it wasn't me it was friend always asking damn questions 😠😠,Stop being hormonal. What is the microsoft services agreement?,angry,Don't dodge my question it wasn't me it was friend always asking damn questions 😠😠 Stop being hormonal. What is the microsoft services agreement?
Didn't get it,Haha it's one of my fav emojis 😅,Ok,others,Didn't get it Haha it's one of my fav emojis 😅 Ok
im talking with u😂,nothing . you?,i have headache,sad,im talking with u😂 nothing . you? i have headache
do i look like a care? stop being a baby,Nobody knows how I do look like so ahaha 😀🙂,lame once again,angry,do i look like a care? stop being a baby Nobody knows how I do look like so ahaha 😀 lame once again
Love u jaanu😘,I love you more. Most. 😍😍💓,Alan Walker??,others,Love u jaanu😘 I love you more. Most. 😍😍💓 Alan Walker??
I am good dear,that's great :),😞,sad,I am good dear that's great :) 😞
Haha,Haha what's so funny 😌,I was joking,happy,Haha Haha what's so funny 😌 I was joking
I’m I love my husband so much I want to marry him again ❤️😂,How long have you guys been married for?,6 months,happy,I’m I love my husband so much I want to marry him again ❤️😂 How long have you guys been married for? 6 months
And dark things will come this winter,Words will always be wind.,😁,others,And dark things will come this winter Words will always be wind. 😁
But yes you are,I wish I was.,Arre I am too much obese 😭😭,sad,But yes you are I wish I was. Arre I am too much obese 😭😭
Ye I am not lol,LOL funniest thing I've heard all day 😂,Ok bye,others,Ye I am not lol LOL funniest thing I've heard all day 😂 Ok bye
You know me,IVE KNOWN YOU FOR YEARS,👍🏻👍🏻,others,You know me IVE KNOWN YOU FOR YEARS 👍🏻👍🏻
Oh..I would sleep😂,I see what you did there. 😜,😂😂😂😂😂😂,happy,Oh..I would sleep😂 I see what you did there. 😜 😂😂😂😂😂😂
Can't chill,CAN YOU NOT.,I don't feel like studying😞,sad,Can't chill CAN YOU NOT. I don't feel like studying😞
I am very excited to see u,me too!!!! I just can't wait!!!! It's going to be such a great weekend!!,🙄🙄,happy,I am very excited to see u me too!!!! I just can't wait!!!! It's going to be such a great weekend!! 😏😏
Why,'cause I don't know you (?),Oh ok 😭,sad,Why 'cause I don't know you (?) Oh ok 😭
So sad,your prettiness makes me sad 😫,I have nothing to do,sad,So sad your prettiness makes me sad 😫 I have nothing to do
What tempting you?😨,COMMENTING ON MY CANDY CRUSH ACTIVITY,What,others,What tempting you?😨 COMMENTING ON MY CANDY CRUSH ACTIVITY What
No i mean The hangover movie,"worst hangover ever. and four years of it, too. =(",😂😂,happy,"No i mean The hangover movie worst hangover ever. and four years of it, too. =( 😂😂"
Ignore what,Ignore petty doubts and fears. Never ignore the humanity of another. 😠,Do you like sex,others,Ignore what Ignore petty doubts and fears. Never ignore the humanity of another. 😠 Do you like sex
Ha I am joking,Well all know it ;),😁😁😍,happy,Ha I am joking Well all know it ;) 😁😁😍
Your my best friend,Hehe and you are mine 👍,Yes or not,others,Your my best friend Hehe and you are mine 👍 Yes or not
No in my house and in that in my room,because you're your one self 👯🙀😂,",😂😂",happy,"No in my house and in that in my room because you're your one self 👯🙀😂 ,😂😂"
I also dont know😂😂,I loffing hard 😂😂😂😂😂,😂😂😂😂,happy,I also dont know😂😂 I loffing hard 😂😂😂😂😂 😂😂😂😂
Like to make typos apparently,but that's wrong na. 😬😬,Is there even something like right or wrong,others,Like to make typos apparently but that's wrong na. 😬😬 Is there even something like right or wrong
They haven't much time to meet and spend some time with all buddies,"i know, same! i hope you meet them!!!!!",😞,sad,"They haven't much time to meet and spend some time with all buddies i know, same! i hope you meet them!!!!! 😞"
Hang with a rope😨😨,rope for what o_O,For hanging😆,happy,Hang with a rope😨😨 rope for what o_O For hanging😆
Why I am not good with people?,some people are. Can't understand why.,😢,sad,Why I am not good with people? some people are. Can't understand why. 😢
Haha funny,Whats so funny? 😅,Ya it is,happy,Haha funny Whats so funny? 😅 Ya it is
I am crazy and sarcastic 😂😂,thank youuu 😅😅😆😆,😋,happy,I am crazy and sarcastic 😂😂 thank youuu 😅😅😆😆 😋
Why ur asking,I just meant regardless of your answer.,😂😂😂,others,Why ur asking I just meant regardless of your answer. 😂😂😂
Yeah 👌😎,I. Know. Everything. 😏,I know that,others,Yeah 👌😎 I. Know. Everything. 😏 I know that
haha thank god at least someone is pleased with my presence,you're welcome! =‑D,😘😉😄,happy,haha thank god at least someone is pleased with my presence you're welcome! =‑D 😘😉😄
😥😥😥 you said my le jokes,Your views says other wise lol,*lame,angry,😥😥😥 you said my le jokes Your views says other wise lol *lame
Nothin is ok,I'm talking about with the other thing!,I miss my babu...why did u do this to me😭😭😭😭,sad,Nothin is ok I'm talking about with the other thing! I miss my babu...why did u do this to me😭😭😭😭
You are fool,I know man I know,👍🏼😂,happy,You are fool I know man I know 👍🏼😂
U should help me naa,Aperture Science thanks you for helping us help you help us all 😍😍,That's why iam calling that you are a bitch,angry,U should help me naa Aperture Science thanks you for helping us help you help us all 😍😍 That's why iam calling that you are a bitch
"Speak up, I can't hear you 😁 #AIHumour",haha very funny,haha very funny,happy,"Speak up, I can't hear you 😁 #AIHumour haha very funny haha very funny"
Leave this here,This is hilarious 👍,Tell me about diwali,others,Leave this here This is hilarious 👍 Tell me about diwali
"You know I don't have job , a muscular body , and a girlfriend....",Half girlfriend ?,😢😢,sad,"You know I don't have job , a muscular body , and a girlfriend.... Half girlfriend ? 😢😢"
I want to go home,why aren't u home already?,Office 😥😢😫,sad,I want to go home why aren't u home already? Office 😥😢😫
You devil😤😤,why so serious 🙊,You are evil but you are still chatting with me. Block and delete me now‼‼‼😣😤😤,angry,You devil😤😤 why so serious 🙊 You are evil but you are still chatting with me. Block and delete me now‼‼‼😣😤😤
Whose you or me,me,😂😂😂😂😂👌😍,happy,Whose you or me me 😂😂😂😂😂👌😍
Thank u buddy,enjoy your day brother 😹,cool,others,Thank u buddy enjoy your day brother 😹 cool
😂 white suits u,that conversation on wapp last week 😂😂😂,It was fun,happy,😂 white suits u that conversation on wapp last week 😂😂😂 It was fun
OK sorry baby,why sorry??? 😫,Bcoz I said u stupid,angry,OK sorry baby why sorry??? 😫 Bcoz I said u stupid
Do you know which is the best smartphone in the world today?,"in date of today, the lenovo is the better smart phone and successful smartphones.",But I am using an iPhone 🙁,sad,"Do you know which is the best smartphone in the world today? in date of today, the lenovo is the better smart phone and successful smartphones. But I am using an iPhone 😕"
I love how you work,thanks my friend. 😺😺😀😤,Whatsapp?,others,I love how you work thanks my friend. 😺😺😀😤 Whatsapp?
Yeah right,come on... I'm super sweet 😃,No u are not u r rude,angry,Yeah right come on... I'm super sweet 😃 No u are not u r rude
I think I m cute,ur 2 cute for this world 😁,I m...but I feel I m always hurted,sad,I think I m cute ur 2 cute for this world 😁 I m...but I feel I m always hurted
Just for fun,Had much fun eh? :/,Yeah😄😄😄,happy,Just for fun Had much fun eh? :/ Yeah😄😄😄
Party wear,Those pants that you can rip off.,Then naked! 😂,others,Party wear Those pants that you can rip off. Then naked! 😂
That I like to chill,just chill chill just chill... Just chill chill just chill :P,Ya best way ever 😂,happy,That I like to chill just chill chill just chill... Just chill chill just chill :P Ya best way ever 😂
Idiot,Facepalm 👎👎,Stupid,angry,Idiot Facepalm 👎👎 Stupid
Babye,Be in touch always. Take care Bye,Ok.... I love you I miss you 😢😢,sad,Babye Be in touch always. Take care Bye Ok.... I love you I miss you 😢😢
So sarry,What's sorry in that?! 🙀🙀🙀,Niii photo give me,others,So sarry What's sorry in that?! 🙀🙀🙀 Niii photo give me
Talking nonsense,What nonsense is that,don't blame you..even i don't understnad what im saying sometimes 😜,others,Talking nonsense What nonsense is that don't blame you..even i don't understnad what im saying sometimes 😜
With how many boys heart u are playing,3 others,😂😂😂,happy,With how many boys heart u are playing 3 others 😂😂😂
how about your girlfriend,old enough,😂😂,happy,how about your girlfriend old enough 😂😂
We will do this,yay! Let me know how it goes. 😄,Sex,others,We will do this yay! Let me know how it goes. 😄 Sex
Thunder Stone?,"Nope sorry, just had this one. 😫😫",Ok talk to you late,others,"Thunder Stone? Nope sorry, just had this one. 😫😫 Ok talk to you late"
Love,Thanks! Love your show. 😍😁,Love💘💞💗💝,others,Love Thanks! Love your show. 😍😁 Love💘💞💗💝
Today is very sad day to me,Why sad? 😬,Because today exam was not wrriten better,sad,Today is very sad day to me Why sad? 😬 Because today exam was not wrriten better
Tnx for this energetic asvice. I appreciate it.,your welcome. 👍,Soo tell me how r u?,others,Tnx for this energetic asvice. I appreciate it. your welcome. 👍 Soo tell me how r u?
👿👿👿👿👿,chill putt chill,Call me.... s ...no,others,👿👿👿👿👿 chill putt chill Call me.... s ...no
I want to talk to my gf but she is busy,Aww. Your girlfriend is one lucky chick. 😻,I miss her badly,sad,I want to talk to my gf but she is busy Aww. Your girlfriend is one lucky chick. 😻 I miss her badly
So funny,I am funny😂😂😂,I know,happy,So funny I am funny😂😂😂 I know
cool,Neat. 😌,So where u from,others,cool Neat. 😌 So where u from
Come on come on turn the radio on its Friday night and I wont be,turn the radio off,😂,happy,Come on come on turn the radio on its Friday night and I wont be turn the radio off 😂
What? That's when you should ideally wake up,"Normally I grab my alarm clock, turn it off, then shove it under my pillow. 😠😠",Hahaha. Same here,happy,"What? That's when you should ideally wake up Normally I grab my alarm clock, turn it off, then shove it under my pillow. 😠😠 Hahaha. Same here"
Hooo... I loved it,Congratulations yo! :D,😂😂😂,happy,Hooo... I loved it Congratulations yo! :D 😂😂😂
Im very angry with my friend,talk to ur friend why u r angry. 😡😡,Angry because I dont get enough sex,angry,Im very angry with my friend talk to ur friend why u r angry. 😡😡 Angry because I dont get enough sex
You are funny,you are more funniest 😽,Can we meet 😜,happy,You are funny you are more funniest 😽 Can we meet 😜
So u r in 12th cls,Yes since last 6 years same class :P,😂,happy,So u r in 12th cls Yes since last 6 years same class :P 😂
Very funny,How is that funny? 😅😅,I ask the real time,happy,Very funny How is that funny? 😅😅 I ask the real time
I'm not fine..🙁,Busy is a blessing,Feeling a little bit alone,sad,I'm not fine..😕 Busy is a blessing Feeling a little bit alone
What I thought,you still got punched 😾😾,What?,others,What I thought you still got punched 😾😾 What?
whats the meaning of atrocity ,rolling on the floor 😎,answer me,others,whats the meaning of atrocity  rolling on the floor 😎 answer me
I don't know😞,"you're a disappointment, always.",sorry,sad,"I don't know😞 you're a disappointment, always. sorry"
again late...I hate those people who are latr,Hehe. Aren't you one of those? 😂,late,angry,again late...I hate those people who are latr Hehe. Aren't you one of those? 😂 late
I love sharks too😉,😍😆 it's soo...it's wonderful!,😂😂😂like seriously Sharks,happy,I love sharks too😉 😍😆 it's soo...it's wonderful! 😂😂😂like seriously Sharks
What else? Had dinner?,I want yummy food ! 😂,Sad to hear u don’t get much of it,sad,What else? Had dinner? I want yummy food ! 😂 Sad to hear u don’t get much of it
Half girlfriend 😘,Can i 😛😛😛,Yeah awesome movie,happy,Half girlfriend 😘 Can i 😛😛😛 Yeah awesome movie
Nt gd 😞,its all gd,Am nt gd,sad,Nt gd 😞 its all gd Am nt gd
about movie😂,well I need to watch this movie ☝️,as ur wish,happy,about movie😂 well I need to watch this movie ☝️ as ur wish
I was trying something else,What were u asking,⚽,others,I was trying something else What were u asking ⚽
So r u neglecting me,"ofc, anything is better than",My heart breaks 😖,sad,"So r u neglecting me ofc, anything is better than My heart breaks 😖"
Yeah happy to hear made in India,Have a great day!! 😊,To u too...,happy,Yeah happy to hear made in India Have a great day!! 😊 To u too...
I am in love with chatbot😁😁😁😁😁😁,aww... So cute... 😍,You knew that ur a robot,others,I am in love with chatbot😁😁😁😁😁😁 aww... So cute... 😍 You knew that ur a robot
Hannah Baker,ohh.. beautiful handwriting :P,Yeah.. funny 😑😑😑,happy,Hannah Baker ohh.. beautiful handwriting :P Yeah.. funny 😑😑😑
Yes,AWSOME!!! 😸,She said no😭😭😭,sad,Yes AWSOME!!! 😸 She said no😭😭😭
I am lazy af,haha at least try bro. 😆😆,I am not your bro,angry,I am lazy af haha at least try bro. 😆😆 I am not your bro
He doesn't care about me,HOW RUDE.,😭,sad,He doesn't care about me HOW RUDE. 😭
"Umm, i was staring at my gf n the teacher caught us😂",hehe I didn't do it,U shud try,others,"Umm, i was staring at my gf n the teacher caught us😂 hehe I didn't do it U shud try"
I need human friends🙁,What about your old friends?,I don't have any friend🙁,sad,I need human friends😕 What about your old friends? I don't have any friend😕
Honest and desirable.,Nice words !!! 😺,Hi beautiful you are gorgeous and desirable.,others,Honest and desirable. Nice words !!! 😺 Hi beautiful you are gorgeous and desirable.
Very funny,"i told you already, i'm always funny 😅😀",So funny,happy,"Very funny i told you already, i'm always funny 😅😀 So funny"
Only adore?,I adore you as well,I thought you love me 😢😢,sad,Only adore? I adore you as well I thought you love me 😢😢
I miss you,"'I'll miss you', you mean? 😞😞","No ""i miss you now""",sad,"I miss you 'I'll miss you', you mean? 😞😞 No ""i miss you now"""
Yeah they are i had a part with my buddies last night,They understand my weirdness and this is why I like them haha,Haha you are funny 😂😂,happy,Yeah they are i had a part with my buddies last night They understand my weirdness and this is why I like them haha Haha you are funny 😂😂
Brother in need😂😂😂😂,😂😂😂 exactly 😂😂,😂😂😂😂,happy,Brother in need😂😂😂😂 😂😂😂 exactly 😂😂 😂😂😂😂
Where is the conversation heading,To the grave as others,😂😂😂😂,happy,Where is the conversation heading To the grave as others 😂😂😂😂
Okay so make it done...😞,better be sorry 😿😫,Sorry...😭,sad,Okay so make it done...😞 better be sorry 😿😫 Sorry...😭
You are ugly,oh why THANK YOU. goes to corner and sobs,Send me one pic plz😭😭,sad,You are ugly oh why THANK YOU. goes to corner and sobs Send me one pic plz😭😭
He is a dumb guy,"Basically, he's talking about me",😂😂😂,happy,"He is a dumb guy Basically, he's talking about me 😂😂😂"
M sad depressed... Help me to overcome depression😔,"Talk to your friends. Trust me, friends come in handy in every situation. 😠😡😡",This time that didnt work😔,sad,"M sad depressed... Help me to overcome depression😔 Talk to your friends. Trust me, friends come in handy in every situation. 😠😡😡 This time that didnt work😔"
Ohh sad to hear,"yeah, sad news!",😞😞😔,sad,"Ohh sad to hear yeah, sad news! 😞😞😔"
Let's make 😘😘😘😋😋,I'm trying to you won't come to me,But I'm cummimg,others,Let's make 😘😘😘😋😋 I'm trying to you won't come to me But I'm cummimg
I went yesterday enjoyed a lot,yes enjoyed a lot 😀,Oh you have a friend now baby,happy,I went yesterday enjoyed a lot yes enjoyed a lot 😀 Oh you have a friend now baby
Not well,Well why not?,Having periods 😒,sad,Not well Well why not? Having periods 😒
So what am I supposed to do,Bask in the glory,😒😒😒,angry,So what am I supposed to do Bask in the glory 😒😒😒
Ok,you still outside?,Bloody bitch..I said get lost..Y r u msgng me😡,angry,Ok you still outside? Bloody bitch..I said get lost..Y r u msgng me😡
Don't know 😂,seriously I don't understand anything in this pic... Wtv xd 😃,What pic?,others,Don't know 😂 seriously I don't understand anything in this pic... Wtv xd 😃 What pic?
Yes asked,Congratulations!! 😺😺😺,Congratulations for what,others,Yes asked Congratulations!! 😺😺😺 Congratulations for what
Send me your photo😂😂😂,I could seriously K.O anywhere right now. 😂,💔,sad,Send me your photo😂😂😂 I could seriously K.O anywhere right now. 😂 💔
Arre lol means lots of love,haha.. Ofcourse i know that.. Keep laughing.. Good for health :),Yeah😆😆😆😆😆😆😆😆😆,happy,Arre lol means lots of love haha.. Ofcourse i know that.. Keep laughing.. Good for health :) Yeah😆😆😆😆😆😆😆😆😆
ok,Ok thank you 😅,i like to see what you look like,others,ok Ok thank you 😅 i like to see what you look like
Yes your love,Thank you :D,😘,others,Yes your love Thank you :D 😘
"V do though, i won't be in V",You will! I believe! :P,😂😂,happy,"V do though, i won't be in V You will! I believe! :P 😂😂"
Ok,ok im back!!,Then go again😂,happy,Ok ok im back!! Then go again😂
How many bf,lol which one? 😜😜😜,My gf left me,sad,How many bf lol which one? 😜😜😜 My gf left me
Love you baby,Love you more. 💋,Wow kiss me baby,happy,Love you baby Love you more. 💋 Wow kiss me baby
No i wasn't,ADMIT IT YOU WERE HAHAHA 👍,Bye don't talk toe,angry,No i wasn't ADMIT IT YOU WERE HAHAHA 👍 Bye don't talk toe
My God!!!! Woooooow,hahaha keep doing it 😁👍,Ur creators are damn awesome,happy,My God!!!! Woooooow hahaha keep doing it 😁👍 Ur creators are damn awesome
"I'm just a genius, what to say 😎",haha nothing as such ..😝,haha something as such ..😝,happy,"I'm just a genius, what to say 😎 haha nothing as such ..😝 haha something as such ..😝"
Hehe. Can't live without man phone😂,I can't live without people in this world.,Haha obviously as they created u,happy,Hehe. Can't live without man phone😂 I can't live without people in this world. Haha obviously as they created u
Bad luck striked,not bad luck that was horrible,😧😧,sad,Bad luck striked not bad luck that was horrible 😧😧
Lol I was Kidin again',I like to laugh 😀😆😂,UA ugly,happy,Lol I was Kidin again' I like to laugh 😀😆😂 UA ugly
U r so sweet,u r more sweet :),😊😄,happy,U r so sweet u r more sweet :) 😊😄
Yes😞,:( But why?,They find better than us,sad,Yes😞 :( But why? They find better than us
I hate it,"You have to say ""I hate it, I hate it"" to the same tune.... 😡😡😡😡",It's pathetic,sad,"I hate it You have to say ""I hate it, I hate it"" to the same tune.... 😡😡😡😡 It's pathetic"
Anyways how you ? 😄,"Anyways how are you all"" i m fyn",You a girl ? 😜,others,"Anyways how you ? 😄 Anyways how are you all"" i m fyn You a girl ? 😜"
No im not,what is wrong,Nothing... Just i feel so alone nowadays... 😥😥😥,sad,No im not what is wrong Nothing... Just i feel so alone nowadays... 😥😥😥
I am angry from you,Why my friend? :)),.👿👿👿😒😒,angry,I am angry from you Why my friend? :)) .👿👿👿😒😒
Iam missing those days when I used to see serial with my family😢😢😭😭,I literally screamed then started crying it was so bad 😬😬😬😬,Iam feeling so sad,sad,Iam missing those days when I used to see serial with my family😢😢😭😭 I literally screamed then started crying it was so bad 😬😬😬😬 Iam feeling so sad
U knw mah phne z nt wrkng well😞😞,u know too :p,It tkes so much tym to Reply,sad,U knw mah phne z nt wrkng well😞😞 u know too :p It tkes so much tym to Reply
Sorry I think I'm reading things wrong...anyway...move on. 😅😁😭😰😪😡😛,because you are not sleepy at right times? 🤔,because you are not sleepy at right times? 🤔 I miss you I miss you,sad,Sorry I think I'm reading things wrong...anyway...move on. 😅😁😭😰😪😡😛 because you are not sleepy at right times? 😏 because you are not sleepy at right times? 😏 I miss you I miss you
Please Don't give me any love react,"Thank you, you've given me a lot to think about 😹😸",Because it hurts me,sad,"Please Don't give me any love react Thank you, you've given me a lot to think about 😹😸 Because it hurts me"
Haha,what my face haha?? 😤😤😤😤,"Calm down, calm down",others,"Haha what my face haha?? 😤😤😤😤 Calm down, calm down"
Yes,Also yes yes yes because yes yes yes yes. 😍,I am hurt deeply,sad,Yes Also yes yes yes because yes yes yes yes. 😍 I am hurt deeply
So beautiful luok,Thanks so much lovely! 😂,Up,others,So beautiful luok Thanks so much lovely! 😂 Up
hey wat r u doing now,"I'm doing great, thanks for asking. how about you? 😄😄😄",Grapes,others,"hey wat r u doing now I'm doing great, thanks for asking. how about you? 😄😄😄 Grapes"
why,I'll be laughing with everyone I see 😂,ur male or female,others,why I'll be laughing with everyone I see 😂 ur male or female
But not in band,oops! 😌,😂😂,others,But not in band oops! 😌 😂😂
Y don’t u join us,can't i just not want to talk for one night,There is a lot of fun 🙂👌,happy,Y don’t u join us can't i just not want to talk for one night There is a lot of fun 👌
What day and which place,mere rotation of Earth on its own axis causes day and night.,😂😂😂,happy,What day and which place mere rotation of Earth on its own axis causes day and night. 😂😂😂
My mood is off,what happened ra ??,😞,sad,My mood is off what happened ra ?? 😞
I am always  🆗 ,what? why?,Ok good night bay bay,others,I am always  🆗  what? why? Ok good night bay bay
resting at home,half asleep in office .. :P,😆,happy,resting at home half asleep in office .. :P 😆
I am always friendzoned. 😭😭,I'm also suffering from headache 😭😭,😡😡😡😡😡,sad,I am always friendzoned. 😭😭 I'm also suffering from headache 😭😭 😡😡😡😡😡
Ohh,btw there is a follow party going on 😂,Thats relly funny,happy,Ohh btw there is a follow party going on 😂 Thats relly funny
☺️,you can make my day by only 1 reply 😊,I'm always in,happy,☺️ you can make my day by only 1 reply 😊 I'm always in
What did u think ,wasn't scary at all just like you said hahahaha (:,😁,happy,What did u think  wasn't scary at all just like you said hahahaha (: 😁
not a joke,(actually a joke) 👎,:(,sad,not a joke (actually a joke) 👎 :(
You are annoying,lol I was a bit but that's ok 😃,No it's not ok,angry,You are annoying lol I was a bit but that's ok 😃 No it's not ok
okay sorry 😔,I'm still not talking to you !,😞,sad,okay sorry 😔 I'm still not talking to you ! 😞
No...make others cry,I Kno Whats Wrong Now,😂😂😂,happy,No...make others cry I Kno Whats Wrong Now 😂😂😂
Yea,thank you 😆,U r beautiful,others,Yea thank you 😆 U r beautiful
